vehicleid,status,make,model,modelyear,color,fuel,wheelchairaccessible,operator,zipcode,affiliation,medallion
2654,ACTIVE,TOYOTA,PRIUS,2013,BLUE/WHITE,Hybrid,FALSE,AUJLA CAB CO,60641,Sun Taxi Association Inc,Owner Manager
977,ACTIVE,TOYOTA,PRIUS,2013,GREEN,Hybrid,FALSE,NECT 39 LLC,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc."
5916,ACTIVE,TOYOTA,CAMRY,2014,GRAY/WHITE,Hybrid,FALSE,3860 TAXI CORP,60645,Choice Taxi Association Inc,Choice Taxi Association
6153,ACTIVE,TOYOTA,RAV4,2021,RED,Hybrid,FALSE,MAI-BELLA INC,60612,Independent1,Owner Manager
1960,ACTIVE,TOYOTA,RAV4,2021,GRAY,Hybrid,FALSE,FAMAL TRANS INC,60612,Independent1,Owner Manager
1363,ACTIVE,TOYOTA,SIENNA,2019,BLUE/WHITE,Gasoline,TRUE,1363 CAB INC,60641,Sun Taxi Association Inc,Owner Manager
1402,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,FALSE,MASOODY INC,60656,Flash Cab Co,Owner-Operator
2245,ACTIVE,TOYOTA,CAMRY,2016,YELLOW,Hybrid,FALSE,"A & H TRANS, INC",60641,Yellow Cab Association,Owner-Operator
1524,ACTIVE,TOYOTA,SIENNA,2022,GRAY,Hybrid,TRUE,CYO INC,60640,Independent1,Owner-Operator
4254,ACTIVE,TOYOTA,CAMRY,2017,BLUE/WHITE,Hybrid,FALSE,MCCAB XXIV CORP,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc."
1778,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,FALSE,A RATTANI INC,60656,Flash Cab Co,Owner Manager
80,ACTIVE,TOYOTA,CAMRY,2016,BLUE/WHITE,Hybrid,FALSE,MCCAB XII CORP.,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc."
3602,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,FALSE,TRANZIT INC.,60659,City Service Taxi Association,Owner Manager
6018,ACTIVE,TOYOTA,CAMRY,2016,WHITE,Hybrid,FALSE,WARM TAXI INC,60656,Flash Cab Co,Owner-Operator
4542,ACTIVE,TOYOTA,RAV4,2017,WHITE,Hybrid,FALSE,4542 TAXI INC,60630,Globe Taxi Association Inc,Owner-Operator
3811,ACTIVE,FORD,ESCAPE,2011,BLUE/WHITE,Hybrid,FALSE,"DAWO RIVER, CORP",60641,Sun Taxi Association Inc,Owner-Operator
4746,ACTIVE,TOYOTA,CAMRY,2017,BLUE/WHITE,Hybrid,FALSE,M & W TAXI INC.,60646,Koam Taxi Association,Owner-Operator
56,ACTIVE,TOYOTA,CAMRY,2017,WHITE,Hybrid,FALSE,BRIGHT CAB INC,60626,Flash Cab Co,Owner-Operator
5187,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,FALSE,JOHAL CAB CO,60656,Flash Cab Co,Owner Manager
4781,ACTIVE,TOYOTA,CAMRY,2013,YELLOW,Hybrid,FALSE,YUGSI DIAZ CAB INC.,60641,Yellow Cab Association,Owner-Operator
5460,ACTIVE,TOYOTA,CAMRY,2015,WHITE/BLUE,Hybrid,FALSE,6920 CAB CO.,60625,Peace Taxi Assoc Inc,Owner Manager
185,ACTIVE,TOYOTA,CAMRY,2018,BLUE/WHITE,Hybrid,FALSE,BLESSINGS TOO LLC,60641,Sun Taxi Association Inc,Owner Manager
4977,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,FALSE,"BISMILL TRANS, INC",60656,Flash Cab Co,Owner-Operator
3806,ACTIVE,TOYOTA,SIENNA,2018,WHITE,Gasoline,TRUE,"NOORAMZI, INC.",60612,Independent1,Owner-Operator
2455,ACTIVE,TOYOTA,CAMRY,2017,WHITE,Hybrid,FALSE,TOWN CAB INC,60656,Flash Cab Co,Owner-Operator
1354,ACTIVE,TOYOTA,CAMRY,2016,BLUE/WHITE,Hybrid,FALSE,BAIG ENTERPRISES INC,60641,Sun Taxi Association Inc,Owner Manager
3597,ACTIVE,TOYOTA,SIENNA,2020,WHITE,Gasoline,TRUE,MEHDIHADI INC.,60656,Flash Cab Co,Owner-Operator
2823,ACTIVE,TOYOTA,CAMRY,2020,BLUE/WHITE,Hybrid,FALSE,LEE EXPRESS INC,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc."
6919,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,FALSE,BIBLIAN TAXI INC.,60659,City Service Taxi Association,Owner-Operator
4735,ACTIVE,TOYOTA,CAMRY,2014,BLUE/WHITE,Hybrid,FALSE,HICHAM TRANSIT INC,60641,Sun Taxi Association Inc,Owner-Operator
852,ACTIVE,TOYOTA,SIENNA,2018,YELLOW,Gasoline,FALSE,BON CORPORATION,60641,Yellow Cab Association,Owner Manager
2462,ACTIVE,TOYOTA,SIENNA,2020,WHITE,Gasoline,TRUE,PARK WEST EXPRESS INC,60656,Flash Cab Co,Owner Manager
4657,ACTIVE,TOYOTA,CAMRY,2014,YELLOW,Hybrid,FALSE,URBAN RITE INC.,60641,Yellow Cab Association,Owner-Operator
5104,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,FALSE,BANDER KASSIM LLC,60641,Flash Cab Co,Owner-Operator
3754,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,FALSE,YAHOWA CAB CO,60656,Flash Cab Co,Owner-Operator
1290,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,FALSE,DANIEL T. EGUALE,60645,Independent1,Owner-Operator
5677,ACTIVE,TOYOTA,RAV4,2020,ORANGE,Hybrid,FALSE,MORAN TAXI INC,60641,WOLLEY TAXI,Owner Manager
4676,ACTIVE,TOYOTA,SIENNA,2019,WHITE,Gasoline,TRUE,ARIO CAB INC.,60630,Globe Taxi Association Inc,Owner-Operator
3343,ACTIVE,TOYOTA,CAMRY,2017,BLUE/WHITE,Hybrid,FALSE,SENBEL INC.,60641,Sun Taxi Association Inc,Owner Manager
6920,ACTIVE,TOYOTA,CAMRY,2014,WHITE/BLUE,Hybrid,FALSE,6920 CAB CO.,60625,Peace Taxi Assoc Inc,Owner Manager
6083,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,FALSE,ALL BARAKA TRANS INC,60630,Independent1,Owner-Operator
667,ACTIVE,HONDA,CRV,2020,RED,Hybrid,FALSE,ATKRA INC,60645,Independent1,Owner-Operator
2143,ACTIVE,TOYOTA,PRIUS,2015,GRAY,Hybrid,FALSE,RAJI INC,60659,Independent1,Owner-Operator
5581,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,FALSE,AMRIT CAB CO.,60630,Globe Taxi Association Inc,Owner Manager
3248,ACTIVE,TOYOTA,COROLLA,2015,BLACK,Hybrid,FALSE,NISHAN TAXI CORP,60645,Independent1,Owner Manager
1810,ACTIVE,TOYOTA,CAMRY,2017,WHITE,Hybrid,FALSE,RUBEN TRANS INC.,60640,Independent1,Owner-Operator
5893,ACTIVE,TOYOTA,PRIUS,2015,YELLOW,Hybrid,FALSE,TAXI MEDALLION GROUP LLC SERIES III,60618,Yellow Cab Association,Owner Manager
4458,ACTIVE,KIA,SOUL,2016,YELLOW,Gasoline,FALSE,ROBLES CORP,60641,Yellow Cab Association,Owner-Operator
5878,ACTIVE,TOYOTA,PRIUS,2015,WHITE,Hybrid,FALSE,CHICAGO M & R CORP.,60626,Independent1,Owner-Operator
3920,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,FALSE,G & A CAB CORP,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc."
3472,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,FALSE,BIG M CAB CO,60646,Koam Taxi Association,Owner Manager
2583,ACTIVE,TOYOTA,RAV4,2018,YELLOW,Gasoline,FALSE,URASI INC,60615,Yellow Cab Association,Owner Manager
1632,ACTIVE,TOYOTA,SIENNA,2022,WHITE,Gasoline,TRUE,TIMIMOUN CORPORATION,60656,Flash Cab Co,Owner-Operator
2392,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,FALSE,JUHI INC,60656,Flash Cab Co,Owner Manager
5756,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,FALSE,RZK INC,60656,Flash Cab Co,Owner-Operator
2940,ACTIVE,TOYOTA,CAMRY,2014,WHITE/BLUE/STRIPES,Hybrid,FALSE,HARVIN CAB CO,60646,Blue Ribbon Assn Inc,Owner Manager
2329,ACTIVE,TOYOTA,CAMRY,2018,WHITE,Hybrid,FALSE,"FUNMI TRANS, INC",60659,City Service Taxi Association,Owner-Operator
1617,ACTIVE,TOYOTA,SIENNA,2022,BLUE/WHITE,Hybrid,TRUE,CAJOR LLC,60641,Sun Taxi Association Inc,Owner-Operator
2037,ACTIVE,TOYOTA,HIGHLANDER,2013,YELLOW,Hybrid,FALSE,YETTDEL CORP.,60641,Yellow Cab Association,Owner Manager
6330,ACTIVE,TOYOTA,CAMRY,2021,WHITE,Gasoline,FALSE,STAINLESS TAXI INC,60656,Flash Cab Co,Owner-Operator
808,ACTIVE,TOYOTA,CAMRY,2012,WHITE/BLUE/STRIPES,Hybrid,FALSE,VEEN TAXI INC,60646,Blue Ribbon Assn Inc,"Cab Management Group, Inc."
5563,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,FALSE,ANS TAXI INC,60626,Independent1,Owner-Operator
4356,ACTIVE,TOYOTA,RAV4,2018,WHITE,Hybrid,FALSE,F-15 INC,60640,Independent1,Owner-Operator
6433,ACTIVE,TOYOTA,PRIUS,2013,WHITE/BLUE/STRIPES,Hybrid,FALSE,NEW MILLENNIUM INC. #1,60646,Blue Ribbon Assn Inc,"Cab Management Group, Inc."
1855,ACTIVE,TOYOTA,SIENNA,2023,WHITE,Hybrid,TRUE,NLL INC,60659,City Service Taxi Association,Owner-Operator
2461,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,FALSE,A & M ENT INC,60656,Flash Cab Co,Owner Manager
5496,ACTIVE,TOYOTA,RAV4,2019,WHITE,Hybrid,FALSE,ARCHER CAB INC,60656,Flash Cab Co,Owner-Operator
5032,ACTIVE,TOYOTA,RAV4,2019,SILVER,Gasoline,FALSE,LOREN INC,60659,Independent1,Owner-Operator
3616,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,FALSE,USMAN CAB CO,60656,Flash Cab Co,Owner-Operator
6932,ACTIVE,TOYOTA,SIENNA,2021,WHITE,Gasoline,TRUE,"FLAZ LIMO AND TAXI, INC",60656,Flash Cab Co,Owner Manager
2390,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,FALSE,JUHI INC,60656,Flash Cab Co,Owner Manager
1365,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,FALSE,BACHCHA CORP,60630,Globe Taxi Association Inc,Owner-Operator
8,ACTIVE,TOYOTA,CAMRY,2021,YELLOW,Hybrid,FALSE,SAFI TAXI II INC,60641,Yellow Cab Association,Owner Manager
3802,ACTIVE,TOYOTA,COROLLA,2015,WHITE,Gasoline,FALSE,ITHAKA CAB CORP,60618,Top Cab Association,Top Cab Corp.
5006,ACTIVE,TOYOTA,RAV4,2023,WHITE,Gasoline,FALSE,TAULLARAJ TRANS INC,60659,City Service Taxi Association,Owner-Operator
4009,ACTIVE,TOYOTA,PRIUS,2013,WHITE/RED/STRIPES,Hybrid,FALSE,GHEDAM TRANS INC,60615,Independent2,Owner-Operator
607,ACTIVE,TOYOTA,RAV4,2023,GRAY,Hybrid,FALSE,REGIS CAB COMPANY,60659,Independent1,Owner-Operator
6599,ACTIVE,TOYOTA,PRIUS,2015,YELLOW,Hybrid,FALSE,TAXI MEDALLION GROUP LLC SERIES III,60618,Yellow Cab Association,Owner Manager
1851,ACTIVE,TOYOTA,PRIUS,2015,BLUE/WHITE,Hybrid,FALSE,ABEBA CORP,60641,Sun Taxi Association Inc,Owner-Operator
101,ACTIVE,TOYOTA,CAMRY,2016,BLUE/WHITE,Hybrid,FALSE,J.B. 'S TAXI INC.,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc."
1110,ACTIVE,TOYOTA,PRIUS,2014,BLUE/WHITE,Hybrid,FALSE,AMER MIRZA INC,60641,Sun Taxi Association Inc,Owner Manager
2395,ACTIVE,TOYOTA,SIENNA,2019,WHITE,Gasoline,TRUE,PARIKH ENTERPRISES I INC,60656,Flash Cab Co,Owner Manager
2861,ACTIVE,TOYOTA,PRIUS,2015,WHITE,Hybrid,FALSE,"SS AUTO TRANS, INC",60659,City Service Taxi Association,Owner Manager
3756,ACTIVE,TOYOTA,RAV4,2016,WHITE,Hybrid,FALSE,GOTAMA BUDDHA INC,60630,Globe Taxi Association Inc,Owner-Operator
11,ACTIVE,TOYOTA,CAMRY,2016,YELLOW,Hybrid,FALSE,ZUBI INC.,60641,Yellow Cab Association,Owner-Operator
2750,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,FALSE,ASMARINO INC.,60641,Sun Taxi Association Inc,Owner-Operator
5583,ACTIVE,TOYOTA,SIENNA,2020,YELLOW,Gasoline,TRUE,SHEUN VENTURES INC,60641,Yellow Cab Association,Owner-Operator
6544,ACTIVE,TOYOTA,PRIUS,2013,GRAY/WHITE,Hybrid,FALSE,ERI TRANS INC.,60645,Choice Taxi Association Inc,Owner-Operator
1512,ACTIVE,TOYOTA,PRIUS,2021,BLUE/WHITE,Hybrid,FALSE,RAHEL EXPRESS INC.,60641,Sun Taxi Association Inc,Owner Manager
2081,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,FALSE,AMRIT CAB CO.,60630,Globe Taxi Association Inc,Owner Manager
357,ACTIVE,TOYOTA,SIENNA,2018,BLUE/WHITE,Gasoline,TRUE,MCCAB XIV CORP.,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc."
170,ACTIVE,TOYOTA,CAMRY,2022,WHITE,Hybrid,FALSE,WASA BELAY INC,60646,Independent1,Owner-Operator
6288,ACTIVE,TOYOTA,PRIUS,2015,YELLOW,Hybrid,FALSE,"TAXI MEDALLION GROUP, LLC - SERIES I",60641,Yellow Cab Association,Owner Manager
651,ACTIVE,TOYOTA,SCION,2015,WHITE,Gasoline,FALSE,ABEJORRAL EXPRESS CORP.,60659,City Service Taxi Association,Owner-Operator
5328,ACTIVE,TOYOTA,PRIUS,2015,BLUE/WHITE,Hybrid,FALSE,NORTH KING CAB COMPANY,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc."
2315,ACTIVE,TOYOTA,CAMRY,2019,WHITE/STARS/STRIPES,Gasoline,FALSE,MADJID R. GARIBI,60656,American-United Cab Assn,Owner-Operator
3071,ACTIVE,TOYOTA,SIENNA,2022,GRAY,Hybrid,FALSE,KARIM ALLAM CAB CO,60659,Independent1,Owner-Operator
1597,ACTIVE,TOYOTA,PRIUS,2014,SILVER,Hybrid,FALSE,DELI & AMA INC,60626,INDEPENDENT3,Owner Manager
2361,ACTIVE,TOYOTA,CAMRY,2020,BLUE/WHITE,Hybrid,FALSE,ZIYAD TAXI INC,60641,Sun Taxi Association Inc,Owner-Operator
55,ACTIVE,TOYOTA,RAV4,2019,ORANGE,Hybrid,FALSE,ROADWAY CAB CO,60641,WOLLEY TAXI,Owner Manager
5369,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,FALSE,"TALHA 1, INC",60656,Flash Cab Co,Owner-Operator
3479,ACTIVE,TOYOTA,CAMRY,2013,GRAY/WHITE,Hybrid,FALSE,LEGESSE CAB CO,60645,Choice Taxi Association Inc,Owner Manager
3550,ACTIVE,TOYOTA,SIENNA,2019,YELLOW,Gasoline,TRUE,BATULA TAXI SERVICES LLC,60641,Yellow Cab Association,Owner-Operator
760,ACTIVE,TOYOTA,RAV4,2020,GRAY,Hybrid,FALSE,LUXURY RIDES LLC,60612,Independent1,Owner-Operator
807,ACTIVE,TOYOTA,SIENNA,2019,WHITE/BLUE/STRIPES,Gasoline,TRUE,AIAI TAXI INC,60646,Blue Ribbon Assn Inc,Owner Manager
3300,ACTIVE,TOYOTA,CAMRY,2015,BLUE/WHITE,Hybrid,FALSE,ROOTS SLICK INC.,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc."
5974,ACTIVE,TOYOTA,CAMRY,2014,WHITE/BLUE/STRIPES,Hybrid,FALSE,PJ CAB CO,60646,Blue Ribbon Assn Inc,Owner Manager
115,ACTIVE,TOYOTA,RAV4,2020,WHITE,Hybrid,FALSE,SIAPAI TAXI LLC,60656,Flash Cab Co,Owner-Operator
837,ACTIVE,TOYOTA,RAV4,2016,WHITE/BLACK/STRIPES,Hybrid,FALSE,LETERNEL EST GRAND INC,60659,Independent1,Owner-Operator
6195,ACTIVE,TOYOTA,SIENNA,2019,ORANGE,Gasoline,TRUE,AQRAMAR TAXI INC.,60641,WOLLEY TAXI,Owner Manager
4778,ACTIVE,TOYOTA,PRIUS,2014,WHITE,Hybrid,FALSE,HASINA CORP,60656,Flash Cab Co,Chicago Taxicab Management Inc.
1761,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Gasoline,FALSE,S. BAIG CORP.,60630,Globe Taxi Association Inc,Owner-Operator
3508,ACTIVE,TOYOTA,CAMRY,2016,YELLOW,Hybrid,FALSE,AHMED MURAD CORP.,60641,Yellow Cab Association,Owner-Operator
1497,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,FALSE,MIL'S ENTERPRIESES INC,60656,5 Star Taxi Association Inc,Owner-Operator
2526,ACTIVE,TOYOTA,CAMRY,2020,WHITE,Hybrid,FALSE,MASHAL TRANS INC,60659,City Service Taxi Association,Owner Manager
470,ACTIVE,TOYOTA,CAMRY,2015,BLUE/WHITE,Hybrid,FALSE,MCCAB VIII CORP.,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc."
6410,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,FALSE,W A TAXI INC,60656,Flash Cab Co,Owner-Operator
4965,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,FALSE,BENGAL CAB CORPORATION,60630,Globe Taxi Association Inc,Owner-Operator
1874,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,FALSE,CHANDNI CAB COMPANY,60641,Yellow Cab Association,Owner-Operator
5097,ACTIVE,TOYOTA,PRIUS,2016,WHITE,Gasoline,FALSE,BIZ4U INC,60656,Flash Cab Co,Owner Manager
3695,ACTIVE,TOYOTA,PRIUS,2015,WHITE/BLUE,Hybrid,FALSE,W CITY CAB LLC,60647,Independent1,Owner-Operator
5283,ACTIVE,TOYOTA,SIENNA,2013,WHITE/BLACK/STRIPES,Gasoline,FALSE,SJ TAXI CORP.,60652,Independent1,Owner-Operator
1910,ACTIVE,TOYOTA,SIENNA,2022,WHITE,Hybrid,TRUE,"RASHEED EXPRESS, INC",60659,City Service Taxi Association,Owner-Operator
2049,ACTIVE,FORD,ESCAPE,2012,GREEN,Hybrid,FALSE,SCORPIO INC.,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc."
3664,ACTIVE,TOYOTA,PRIUS,2012,BLUE/WHITE,Hybrid,FALSE,LUXURY LINE TAXI CAB INC,60641,Sun Taxi Association Inc,Owner-Operator
5363,ACTIVE,TOYOTA,CAMRY,2017,BLACK,Hybrid,FALSE,AMEEN CAB INC.,60612,INDEPENDENT4,Owner-Operator
91,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,FALSE,SARDINIA ENTERPRISES INC,60630,Globe Taxi Association Inc,Owner-Operator
5993,ACTIVE,DODGE,GRAND CARAVAN,2017,YELLOW,Flex Fuel,TRUE,FANTASTIC TAXI INC,60641,Yellow Cab Association,Owner Manager
3623,ACTIVE,TOYOTA,PRIUS,2015,WHITE/BLACK/STRIPES,Hybrid,FALSE,ARRINGTON ENTERPRISES INC,60612,Independent1,Owner-Operator
4743,ACTIVE,TOYOTA,SIENNA,2023,WHITE,Hybrid,TRUE,4743 INCORPORATED,60656,Flash Cab Co,Owner-Operator
2836,ACTIVE,TOYOTA,RAV4,2021,WHITE,Hybrid,FALSE,HELENA TRANS INC,60659,City Service Taxi Association,Owner-Operator
2317,ACTIVE,TOYOTA,CAMRY,2018,WHITE/BLUE/STRIPES,Gasoline,FALSE,MOSHEEN CAB INC,60646,Blue Ribbon Assn Inc,Owner-Operator
5837,ACTIVE,TOYOTA,CAMRY,2012,WHITE/BLUE/STRIPES,Hybrid,FALSE,HARRY VENTURES INTERNATIONAL CO.,60646,Blue Ribbon Assn Inc,Owner-Operator
6565,ACTIVE,TOYOTA,RAV4,2017,GRAY/WHITE,Hybrid,FALSE,O'KSONS HOLDINGS COMPANY,60617,Independent1,Owner-Operator
5956,ACTIVE,LINCOLN,MKZ,2015,BLACK,Hybrid,FALSE,"GIDABO, CORP",60613,Independent1,Owner-Operator
5852,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,FALSE,CHICAGO MEDALLION FIVE LLC,60656,Flash Cab Co,Owner Manager
1704,ACTIVE,FORD,ESCAPE,2012,WHITE,Hybrid,FALSE,GEE GEE INC,60630,Globe Taxi Association Inc,Owner Manager
6940,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,FALSE,SKI CORP,60656,Flash Cab Co,Owner-Operator
6434,ACTIVE,TOYOTA,CAMRY,2014,WHITE/BLUE/STRIPES,Hybrid,FALSE,CHITOWN CAB INC # II,60646,Blue Ribbon Assn Inc,"Cab Management Group, Inc."
2735,ACTIVE,TOYOTA,RAV4,2020,WHITE,Hybrid,FALSE,MESSE & YAT INC,60612,Independent1,Owner Manager
6850,ACTIVE,TOYOTA,SIENNA,2019,WHITE,Gasoline,TRUE,A.A.T.Z. CORPORATION,60618,Independent1,Owner-Operator
1634,ACTIVE,TOYOTA,CAMRY,2019,BLUE/WHITE,Hybrid,FALSE,A.R.M.S. CAB CO.,60641,Sun Taxi Association Inc,Owner Manager
4631,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,FALSE,LEE CAB CO,60641,Sun Taxi Association Inc,Owner-Operator
2626,ACTIVE,TOYOTA,PRIUS,2015,WHITE,Hybrid,FALSE,SHAHI INC,60656,Flash Cab Co,Owner Manager
6042,ACTIVE,FORD,ESCAPE,2012,GRAY/WHITE,Hybrid,FALSE,L & L TAXICAB INC,60645,Choice Taxi Association Inc,Owner Manager
2943,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,FALSE,2943 TX CORPORATION,60656,Flash Cab Co,Owner Manager
4572,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,FALSE,ROOBLE CORP,60656,Flash Cab Co,Owner-Operator
3003,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,FALSE,"MARK 08, INC",60640,Independent1,Owner-Operator
1195,ACTIVE,TOYOTA,PRIUS,2014,GRAY/WHITE,Hybrid,FALSE,JERRY & SEBLE CAB COMPANY,60645,Choice Taxi Association Inc,Owner-Operator
1390,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,FALSE,MOON EXPRESS INC,60641,Sun Taxi Association Inc,"Sun Financial Services, Inc."
4763,ACTIVE,TOYOTA,RAV4,2017,SILVER,Hybrid,FALSE,NILE RIVER TAXI COMPANY,60640,Independent1,Owner-Operator
2999,ACTIVE,TOYOTA,SIENNA,2015,WHITE,Gasoline,TRUE,AMRO H INC,60656,Flash Cab Co,Owner Manager
2955,ACTIVE,TOYOTA,RAV4,2022,WHITE,Hybrid,FALSE,2955 TAXI INC,60630,Globe Taxi Association Inc,Owner-Operator
1183,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,FALSE,"YERO TRANS, INC",60659,City Service Taxi Association,Owner-Operator
5526,ACTIVE,TOYOTA,RAV4,2021,WHITE,Hybrid,FALSE,"HERMELA, INC",60640,Independent1,Owner-Operator
2431,ACTIVE,TOYOTA,CAMRY,2016,WHITE,Hybrid,FALSE,"A.S.SUBS, INC.",60656,Flash Cab Co,Owner-Operator
5374,ACTIVE,TOYOTA,RAV4,2024,WHITE,Hybrid,FALSE,HASHIM TAXI CORP,60613,Independent1,Owner-Operator
1967,ACTIVE,TOYOTA,PRIUS,2012,BLACK,Hybrid,FALSE,FITUS TAXI LLC,60659,Independent1,Owner-Operator
1314,ACTIVE,TOYOTA,CAMRY,2016,WHITE,Hybrid,FALSE,AL-MEDINA ENTERPRISES INC.,60656,Flash Cab Co,Owner Manager
1359,ACTIVE,TOYOTA,SIENNA,2023,BLUE/WHITE,Hybrid,TRUE,OSKO LLC,60641,Sun Taxi Association Inc,Owner Manager
458,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,FALSE,GURU CAB CO,60656,Flash Cab Co,Owner Manager
3800,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,FALSE,IMAGE TAXICAB INC,60656,Flash Cab Co,Owner Manager
5287,ACTIVE,FORD,FUSION,2015,GRAY,Hybrid,FALSE,HUMZA CAB CO,60612,Independent1,Owner Manager
2992,ACTIVE,TOYOTA,RAV4,2021,SILVER,Hybrid,FALSE,GATEWAY CAB CO,60631,Independent1,Owner-Operator
5408,ACTIVE,TOYOTA,RAV4,2019,WHITE/BLUE LETTERS,Hybrid,FALSE,BMK TAXI CORP,60640,Independent1,Owner-Operator
